,Name,Geography Type,Year,Resident Population,Overseas population included,Population used for apportionment,Percent Change in Resident Population,Resident Population Density,Resident Population Density Rank,Number of Representatives,Change in Number of Representatives,Average Apportionment Population Per Representative
363,Massachusetts,State,1970,5689170,37506,5726676,10.5,729.4,5.0,12.0,0.0,"477,223"
364,Michigan,State,1970,8875083,62113,8937196,13.4,157,13.0,19.0,0.0,"470,379"
365,Minnesota,State,1970,3804971,28202,3833173,11.5,47.8,33.0,8.0,0.0,"479,147"
366,Mississippi,State,1970,2216912,16936,2233848,1.8,47.2,34.0,5.0,0.0,"446,770"
367,Missouri,State,1970,4676501,41533,4718034,8.3,68,28.0,10.0,0.0,"471,803"
368,Montana,State,1970,694409,7164,701573,2.9,4.8,49.0,2.0,0.0,"350,787"
369,Nebraska,State,1970,1483493,13327,1496820,5.1,19.3,42.0,3.0,0.0,"498,940"
370,Nevada,State,1970,488738,3658,492396,71.3,4.5,50.0,1.0,0.0,"492,396"
371,New Hampshire,State,1970,737681,8603,746284,21.5,82.4,23.0,2.0,0.0,"373,142"
372,New Jersey,State,1970,7168164,39871,7208035,18.2,974.7,2.0,15.0,0.0,"480,536"
373,New Mexico,State,1970,1016000,10664,1026664,6.8,8.4,48.0,2.0,0.0,"513,332"
374,New York,State,1970,18236967,50562,18287529,8.7,387,8.0,39.0,-2.0,"470,207"
375,North Carolina,State,1970,5082059,43171,5125230,11.5,104.5,19.0,11.0,0.0,"465,930"
376,North Dakota,State,1970,617761,6420,624181,-2.3,9,45.0,1.0,-1.0,"624,181"
377,Ohio,State,1970,10652017,78183,10730200,9.7,260.7,11.0,23.0,-1.0,"466,530"
378,Oklahoma,State,1970,2559229,26257,2585486,9.9,37.3,36.0,6.0,0.0,"430,914"
379,Oregon,State,1970,2091385,19425,2110810,18.2,21.8,40.0,4.0,0.0,"527,703"
380,Pennsylvania,State,1970,11793909,90405,11884314,4.2,263.6,10.0,25.0,-2.0,"475,373"
382,Rhode Island,State,1970,946725,11073,957798,10.1,915.8,3.0,2.0,0.0,"478,899"
383,South Carolina,State,1970,2590516,26804,2617320,8.7,86.2,21.0,6.0,0.0,"436,220"
384,South Dakota,State,1970,665507,7740,673247,-2.2,8.8,46.0,2.0,0.0,"336,624"
385,Tennessee,State,1970,3923687,37373,3961060,10.0,95.2,20.0,8.0,-1.0,"495,133"
386,Texas,State,1970,11196730,102057,11298787,16.9,42.9,35.0,24.0,1.0,"470,783"
387,Utah,State,1970,1059273,8537,1067810,18.9,12.9,44.0,2.0,0.0,"533,905"
388,Vermont,State,1970,444330,3997,448327,14.0,48.2,32.0,1.0,0.0,"448,327"
389,Virginia,State,1970,4648494,42248,4690742,17.2,117.7,18.0,10.0,0.0,"469,074"
390,Washington,State,1970,3409169,34318,3443487,19.5,51.3,30.0,7.0,0.0,"491,927"
391,West Virginia,State,1970,1744237,19094,1763331,-6.2,72.6,27.0,4.0,-1.0,"440,833"
392,Wisconsin,State,1970,4417731,29282,4447013,11.8,81.6,24.0,9.0,-1.0,"494,113"
393,Wyoming,State,1970,332416,3303,335719,0.7,3.4,51.0,1.0,0.0,"335,719"
399,Alabama,State,1980,3893888,0,3893888,13.1,76.9,28.0,7.0,0.0,"555,723"
400,Alaska,State,1980,401851,0,401851,33.8,0.7,52.0,1.0,0.0,"400,481"
401,Arizona,State,1980,2718215,0,2718215,53.5,23.9,42.0,5.0,1.0,"543,573"
402,Arkansas,State,1980,2286435,0,2286435,18.9,43.9,37.0,4.0,0.0,"571,378"
403,California,State,1980,23667902,0,23667902,18.6,151.9,16.0,45.0,2.0,"525,968"
404,Colorado,State,1980,2889964,0,2889964,30.9,27.9,40.0,6.0,1.0,"481,472"
405,Connecticut,State,1980,3107576,0,3107576,2.5,641.7,6.0,6.0,0.0,"517,929"
406,Delaware,State,1980,594338,0,594338,8.4,305,9.0,1.0,0.0,"595,225"
407,District of Columbia,State,1980,638333,0,638333,-15.6,"10,456.20",1.0,,,
408,Florida,State,1980,9746324,0,9746324,43.6,181.8,13.0,19.0,4.0,"512,631"
409,Georgia,State,1980,5463105,0,5463105,19.0,95,24.0,10.0,0.0,"546,427"
410,Hawaii,State,1980,964691,0,964691,25.5,150.2,17.0,2.0,0.0,"482,500"
411,Idaho,State,1980,943935,0,943935,32.5,11.4,45.0,2.0,0.0,"471,968"
412,Illinois,State,1980,11426518,0,11426518,2.8,205.8,12.0,22.0,-2.0,"519,021"
413,Indiana,State,1980,5490224,0,5490224,5.7,153.2,15.0,10.0,-1.0,"549,018"
414,Iowa,State,1980,2913808,0,2913808,3.2,52.2,34.0,6.0,0.0,"485,565"
415,Kansas,State,1980,2363679,0,2363679,5.2,28.9,39.0,5.0,0.0,"472,642"
416,Kentucky,State,1980,3660777,0,3660777,13.7,92.7,25.0,7.0,0.0,"523,062"
417,Louisiana,State,1980,4205900,0,4205900,15.5,97.3,23.0,8.0,0.0,"525,497"
418,Maine,State,1980,1124660,0,1124660,13.4,36.5,38.0,2.0,0.0,"562,330"
419,Maryland,State,1980,4216975,0,4216975,7.5,434.4,7.0,8.0,0.0,"527,056"
420,Massachusetts,State,1980,5737037,0,5737037,0.8,735.5,5.0,11.0,-1.0,"521,549"
421,Michigan,State,1980,9262078,0,9262078,4.4,163.8,14.0,18.0,-1.0,"514,352"
422,Minnesota,State,1980,4075970,0,4075970,7.1,51.2,35.0,8.0,0.0,"509,644"
423,Mississippi,State,1980,2520638,0,2520638,13.7,53.7,33.0,5.0,0.0,"504,128"
424,Missouri,State,1980,4916686,0,4916686,5.1,71.5,29.0,9.0,-1.0,"546,383"
425,Montana,State,1980,786690,0,786690,13.3,5.4,50.0,2.0,0.0,"393,345"
426,Nebraska,State,1980,1569825,0,1569825,5.8,20.4,43.0,3.0,0.0,"523,335"
427,Nevada,State,1980,800493,0,800493,63.8,7.3,49.0,2.0,1.0,"399,592"
428,New Hampshire,State,1980,920610,0,920610,24.8,102.8,22.0,2.0,0.0,"460,305"
429,New Jersey,State,1980,7364823,0,7364823,2.7,"1,001.40",2.0,14.0,-1.0,"526,011"
430,New Mexico,State,1980,1302894,0,1302894,28.2,10.7,46.0,3.0,1.0,"433,323"
431,New York,State,1980,17558072,0,17558072,-3.7,372.6,8.0,34.0,-5.0,"516,391"
432,North Carolina,State,1980,5881766,0,5881766,15.7,121,19.0,11.0,0.0,"534,039"
433,North Dakota,State,1980,652717,0,652717,5.7,9.5,47.0,1.0,0.0,"652,695"
434,Ohio,State,1980,10797630,0,10797630,1.4,264.3,11.0,21.0,-2.0,"514,163"
435,Oklahoma,State,1980,3025290,0,3025290,18.2,44.1,36.0,6.0,0.0,"504,211"
436,Oregon,State,1980,2633105,0,2633105,25.9,27.4,41.0,5.0,1.0,"526,533"
437,Pennsylvania,State,1980,11863895,0,11863895,0.6,265.2,10.0,23.0,-2.0,"515,945"
439,Rhode Island,State,1980,947154,0,947154,0.0,916.2,4.0,2.0,0.0,"473,577"
440,South Carolina,State,1980,3121820,0,3121820,20.5,103.9,21.0,6.0,0.0,"519,868"
441,South Dakota,State,1980,690768,0,690768,3.8,9.1,48.0,1.0,-1.0,"690,178"
442,Tennessee,State,1980,4591120,0,4591120,17.0,111.3,20.0,9.0,1.0,"510,083"
443,Texas,State,1980,14229191,0,14229191,27.1,54.5,32.0,27.0,3.0,"526,977"
444,Utah,State,1980,1461037,0,1461037,37.9,17.8,44.0,3.0,1.0,"487,012"
445,Vermont,State,1980,511456,0,511456,15.1,55.5,31.0,1.0,0.0,"511,456"
446,Virginia,State,1980,5346818,0,5346818,15.0,135.4,18.0,10.0,0.0,"534,628"
447,Washington,State,1980,4132156,0,4132156,21.2,62.2,30.0,8.0,1.0,"516,270"
448,West Virginia,State,1980,1949644,0,1949644,11.8,81.1,27.0,4.0,0.0,"487,411"
449,Wisconsin,State,1980,4705767,0,4705767,6.5,86.9,26.0,9.0,0.0,"522,815"
450,Wyoming,State,1980,469557,0,469557,41.3,4.8,51.0,1.0,0.0,"470,816"
456,Alabama,State,1990,4040587,22021,4062608,3.8,79.8,27.0,7.0,0.0,"580,373"
457,Alaska,State,1990,550043,1904,551947,36.9,1,52.0,1.0,0.0,"551,947"
458,Arizona,State,1990,3665228,12757,3677985,34.8,32.3,39.0,6.0,1.0,"612,998"
459,Arkansas,State,1990,2350725,11514,2362239,2.8,45.2,37.0,4.0,0.0,"590,560"
460,California,State,1990,29760021,79229,29839250,25.7,191,14.0,52.0,7.0,"573,832"
461,Colorado,State,1990,3294394,13518,3307912,14.0,31.8,40.0,6.0,0.0,"551,319"
462,Connecticut,State,1990,3287116,8553,3295669,5.8,678.8,6.0,6.0,0.0,"549,278"
463,Delaware,State,1990,666168,2528,668696,12.1,341.9,9.0,1.0,0.0,"668,696"
464,District of Columbia,State,1990,606900,0,606900,-4.9,"9,941.30",1.0,,,
465,Florida,State,1990,12937926,65436,13003362,32.7,241.3,12.0,23.0,4.0,"565,364"
466,Georgia,State,1990,6478216,30203,6508419,18.6,112.6,23.0,11.0,1.0,"591,674"
467,Hawaii,State,1990,1108229,7045,1115274,14.9,172.6,15.0,2.0,0.0,"557,637"
468,Idaho,State,1990,1006749,5237,1011986,6.7,12.2,46.0,2.0,0.0,"505,993"
469,Illinois,State,1990,11430602,36080,11466682,0.0,205.9,13.0,20.0,-2.0,"573,334"
470,Indiana,State,1990,5544159,20069,5564228,1.0,154.8,18.0,10.0,0.0,"556,423"
471,Iowa,State,1990,2776755,10669,2787424,-4.7,49.7,35.0,5.0,-1.0,"557,485"
472,Kansas,State,1990,2477574,8026,2485600,4.8,30.3,41.0,4.0,-1.0,"621,400"
473,Kentucky,State,1990,3685296,13673,3698969,0.7,93.3,25.0,6.0,-1.0,"616,495"
474,Louisiana,State,1990,4219973,18243,4238216,0.3,97.7,24.0,7.0,-1.0,"605,459"
475,Maine,State,1990,1227928,5295,1233223,9.2,39.8,38.0,2.0,0.0,"616,612"
476,Maryland,State,1990,4781468,17154,4798622,13.4,492.6,7.0,8.0,0.0,"599,828"
477,Massachusetts,State,1990,6016425,12626,6029051,4.9,771.3,5.0,10.0,-1.0,"602,905"
478,Michigan,State,1990,9295297,33487,9328784,0.4,164.4,16.0,16.0,-2.0,"583,049"
479,Minnesota,State,1990,4375099,11930,4387029,7.3,54.9,33.0,8.0,0.0,"548,379"
480,Mississippi,State,1990,2573216,13227,2586443,2.1,54.8,34.0,5.0,0.0,"517,289"
481,Missouri,State,1990,5117073,20731,5137804,4.1,74.4,29.0,9.0,0.0,"570,867"
482,Montana,State,1990,799065,4590,803655,1.6,5.5,50.0,1.0,-1.0,"803,655"
483,Nebraska,State,1990,1578385,6232,1584617,0.5,20.5,44.0,3.0,0.0,"528,206"
484,Nevada,State,1990,1201833,4319,1206152,50.1,10.9,47.0,2.0,0.0,"603,076"
485,New Hampshire,State,1990,1109252,4663,1113915,20.5,123.9,20.0,2.0,0.0,"556,958"
486,New Jersey,State,1990,7730188,18446,7748634,5.0,"1,051.10",2.0,13.0,-1.0,"596,049"
487,New Mexico,State,1990,1515069,6710,1521779,16.3,12.5,45.0,3.0,0.0,"507,260"
488,New York,State,1990,17990455,54050,18044505,2.5,381.7,8.0,31.0,-3.0,"582,081"
489,North Carolina,State,1990,6628637,28993,6657630,12.7,136.3,19.0,12.0,1.0,"554,803"
490,North Dakota,State,1990,638800,2564,641364,-2.1,9.3,48.0,1.0,0.0,"641,364"
491,Ohio,State,1990,10847115,40210,10887325,0.5,265.5,11.0,19.0,-2.0,"573,017"
492,Oklahoma,State,1990,3145585,12019,3157604,4.0,45.9,36.0,6.0,0.0,"526,267"
493,Oregon,State,1990,2842321,11412,2853733,7.9,29.6,42.0,5.0,0.0,"570,747"
494,Pennsylvania,State,1990,11881643,43067,11924710,0.1,265.6,10.0,21.0,-2.0,"567,843"
496,Rhode Island,State,1990,1003464,2520,1005984,5.9,970.6,4.0,2.0,0.0,"502,992"
497,South Carolina,State,1990,3486703,19004,3505707,11.7,116,22.0,6.0,0.0,"584,285"
498,South Dakota,State,1990,696004,3995,699999,0.8,9.2,49.0,1.0,0.0,"699,999"
499,Tennessee,State,1990,4877185,19456,4896641,6.2,118.3,21.0,9.0,0.0,"544,071"
500,Texas,State,1990,16986510,73295,17059805,19.4,65,31.0,30.0,3.0,"568,660"
501,Utah,State,1990,1722850,4934,1727784,17.9,21,43.0,3.0,0.0,"575,928"
502,Vermont,State,1990,562758,2206,564964,10.0,61.1,32.0,1.0,0.0,"564,964"
503,Virginia,State,1990,6187358,29210,6216568,15.7,156.7,17.0,11.0,1.0,"565,143"
504,Washington,State,1990,4866692,21249,4887941,17.8,73.2,30.0,9.0,1.0,"543,105"
505,West Virginia,State,1990,1793477,8148,1801625,-8.0,74.6,28.0,3.0,-1.0,"600,542"
506,Wisconsin,State,1990,4891769,14976,4906745,4.0,90.3,26.0,9.0,0.0,"545,194"
507,Wyoming,State,1990,453588,2387,455975,-3.4,4.7,51.0,1.0,0.0,"455,975"
513,Alabama,State,2000,4447100,14030,4461130,10.1,87.8,28.0,7.0,0.0,"637,304"
514,Alaska,State,2000,626932,2001,628933,14.0,1.1,52.0,1.0,0.0,"628,933"
515,Arizona,State,2000,5130632,10051,5140683,40.0,45.2,38.0,8.0,2.0,"642,585"
516,Arkansas,State,2000,2673400,6333,2679733,13.7,51.4,36.0,4.0,0.0,"669,933"
517,California,State,2000,33871648,59150,33930798,13.8,217.4,14.0,53.0,1.0,"640,204"
518,Colorado,State,2000,4301261,10621,4311882,30.6,41.5,39.0,7.0,1.0,"615,983"
519,Connecticut,State,2000,3405565,3970,3409535,3.6,703.3,6.0,5.0,-1.0,"681,907"
520,Delaware,State,2000,783600,1468,785068,17.6,402.1,9.0,1.0,0.0,"785,068"
521,District of Columbia,State,2000,572059,0,572059,-5.7,"9,370.60",1.0,,,
522,Florida,State,2000,15982378,46512,16028890,23.5,298,10.0,25.0,2.0,"641,156"
523,Georgia,State,2000,8186453,20522,8206975,26.4,142.3,20.0,13.0,2.0,"631,306"
524,Hawaii,State,2000,1211537,5105,1216642,9.3,188.6,15.0,2.0,0.0,"608,321"
525,Idaho,State,2000,1293953,3321,1297274,28.5,15.7,46.0,2.0,0.0,"648,637"
526,Illinois,State,2000,12419293,19749,12439042,8.6,223.7,13.0,19.0,-1.0,"654,686"
527,Indiana,State,2000,6080485,10297,6090782,9.7,169.7,18.0,9.0,-1.0,"676,754"
528,Iowa,State,2000,2926324,5599,2931923,5.4,52.4,35.0,5.0,0.0,"586,385"
529,Kansas,State,2000,2688418,5406,2693824,8.5,32.9,42.0,4.0,0.0,"673,456"
530,Kentucky,State,2000,4041769,7662,4049431,9.7,102.4,25.0,6.0,0.0,"674,905"
531,Louisiana,State,2000,4468976,11295,4480271,5.9,103.4,24.0,7.0,0.0,"640,039"
532,Maine,State,2000,1274923,2808,1277731,3.8,41.3,40.0,2.0,0.0,"638,866"
533,Maryland,State,2000,5296486,11400,5307886,10.8,545.6,7.0,8.0,0.0,"663,486"
534,Massachusetts,State,2000,6349097,6471,6355568,5.5,814,5.0,10.0,0.0,"635,557"
535,Michigan,State,2000,9938444,17385,9955829,6.9,175.8,17.0,15.0,-1.0,"663,722"
536,Minnesota,State,2000,4919479,6191,4925670,12.4,61.8,33.0,8.0,0.0,"615,709"
537,Mississippi,State,2000,2844658,8269,2852927,10.5,60.6,34.0,4.0,-1.0,"713,232"
538,Missouri,State,2000,5595211,11049,5606260,9.3,81.4,29.0,9.0,0.0,"622,918"
539,Montana,State,2000,902195,3121,905316,12.9,6.2,50.0,1.0,0.0,"905,316"
540,Nebraska,State,2000,1711263,4106,1715369,8.4,22.3,44.0,3.0,0.0,"571,790"
541,Nevada,State,2000,1998257,3775,2002032,66.3,18.2,45.0,3.0,1.0,"667,344"
542,New Hampshire,State,2000,1235786,2629,1238415,11.4,138,22.0,2.0,0.0,"619,208"
543,New Jersey,State,2000,8414350,10004,8424354,8.9,"1,144.20",2.0,13.0,0.0,"648,027"
544,New Mexico,State,2000,1819046,4775,1823821,20.1,15,47.0,3.0,0.0,"607,940"
545,New York,State,2000,18976457,28516,19004973,5.5,402.7,8.0,29.0,-2.0,"655,344"
546,North Carolina,State,2000,8049313,18360,8067673,21.4,165.6,19.0,13.0,1.0,"620,590"
547,North Dakota,State,2000,642200,1556,643756,0.5,9.3,49.0,1.0,0.0,"643,756"
548,Ohio,State,2000,11353140,21400,11374540,4.7,277.8,11.0,18.0,-1.0,"631,919"
549,Oklahoma,State,2000,3450654,8165,3458819,9.7,50.3,37.0,5.0,-1.0,"691,764"
550,Oregon,State,2000,3421399,7144,3428543,20.4,35.6,41.0,5.0,0.0,"685,709"
551,Pennsylvania,State,2000,12281054,19616,12300670,3.4,274.5,12.0,19.0,-2.0,"647,404"
553,Rhode Island,State,2000,1048319,1343,1049662,4.5,"1,014.00",4.0,2.0,0.0,"524,831"
554,South Carolina,State,2000,4012012,13049,4025061,15.1,133.5,23.0,6.0,0.0,"670,844"
555,South Dakota,State,2000,754844,2030,756874,8.5,10,48.0,1.0,0.0,"756,874"
556,Tennessee,State,2000,5689283,10754,5700037,16.7,138,21.0,9.0,0.0,"633,337"
557,Texas,State,2000,20851820,52174,20903994,22.8,79.8,30.0,32.0,2.0,"653,250"
558,Utah,State,2000,2233169,3545,2236714,29.6,27.2,43.0,3.0,0.0,"745,571"
559,Vermont,State,2000,608827,1063,609890,8.2,66.1,32.0,1.0,0.0,"609,890"
560,Virginia,State,2000,7078515,22187,7100702,14.4,179.2,16.0,11.0,0.0,"645,518"
561,Washington,State,2000,5894121,14563,5908684,21.1,88.7,27.0,9.0,0.0,"656,520"
562,West Virginia,State,2000,1808344,4733,1813077,0.8,75.2,31.0,3.0,0.0,"604,359"
563,Wisconsin,State,2000,5363675,7535,5371210,9.6,99,26.0,8.0,-1.0,"671,401"
564,Wyoming,State,2000,493782,1522,495304,8.9,5.1,51.0,1.0,0.0,"495,304"
570,Alabama,State,2010,4779736,23246,4802982,7.5,94.4,29.0,7.0,0.0,"686,140"
571,Alaska,State,2010,710231,11292,721523,13.3,1.2,52.0,1.0,0.0,"721,523"
572,Arizona,State,2010,6392017,20683,6412700,24.6,56.3,35.0,9.0,1.0,"712,522"
573,Arkansas,State,2010,2915918,10311,2926229,9.1,56,36.0,4.0,0.0,"731,557"
574,California,State,2010,37253956,88033,37341989,10.0,239.1,13.0,53.0,0.0,"704,566"
575,Colorado,State,2010,5029196,15734,5044930,16.9,48.5,39.0,7.0,0.0,"720,704"
576,Connecticut,State,2010,3574097,7531,3581628,4.9,738.1,6.0,5.0,0.0,"716,326"
577,Delaware,State,2010,897934,2943,900877,14.6,460.8,8.0,1.0,0.0,"900,877"
578,District of Columbia,State,2010,601723,0,601723,5.2,"9,856.50",1.0,,,
579,Florida,State,2010,18801310,99463,18900773,17.6,350.6,10.0,27.0,2.0,"700,029"
580,Georgia,State,2010,9687653,39913,9727566,18.3,168.4,20.0,14.0,1.0,"694,826"
581,Hawaii,State,2010,1360301,6561,1366862,12.3,211.8,15.0,2.0,0.0,"683,431"
582,Idaho,State,2010,1567582,5917,1573499,21.1,19,46.0,2.0,0.0,"786,750"
583,Illinois,State,2010,12830632,33748,12864380,3.3,231.1,14.0,18.0,-1.0,"714,688"
584,Indiana,State,2010,6483802,17780,6501582,6.6,181,18.0,9.0,0.0,"722,398"
585,Iowa,State,2010,3046355,7432,3053787,4.1,54.5,38.0,4.0,-1.0,"763,447"
586,Kansas,State,2010,2853118,10695,2863813,6.1,34.9,42.0,4.0,0.0,"715,953"
587,Kentucky,State,2010,4339367,11239,4350606,7.4,109.9,24.0,6.0,0.0,"725,101"
588,Louisiana,State,2010,4533372,20590,4553962,1.4,104.9,26.0,6.0,-1.0,"758,994"
589,Maine,State,2010,1328361,4713,1333074,4.2,43.1,40.0,2.0,0.0,"666,537"
590,Maryland,State,2010,5773552,16377,5789929,9.0,594.8,7.0,8.0,0.0,"723,741"
591,Massachusetts,State,2010,6547629,12015,6559644,3.1,839.4,5.0,9.0,-1.0,"728,849"
592,Michigan,State,2010,9883640,27986,9911626,-0.6,174.8,19.0,14.0,-1.0,"707,973"
593,Minnesota,State,2010,5303925,10954,5314879,7.8,66.6,33.0,8.0,0.0,"664,360"
594,Mississippi,State,2010,2967297,10943,2978240,4.3,63.2,34.0,4.0,0.0,"744,560"
595,Missouri,State,2010,5988927,22551,6011478,7.0,87.1,30.0,8.0,-1.0,"751,435"
596,Montana,State,2010,989415,5001,994416,9.7,6.8,50.0,1.0,0.0,"994,416"
597,Nebraska,State,2010,1826341,5484,1831825,6.7,23.8,45.0,3.0,0.0,"610,608"
598,Nevada,State,2010,2700551,8881,2709432,35.1,24.6,44.0,4.0,1.0,"677,358"
